nom_commune,codes_postaux,code_insee,latitude,longitude
Sainte-Julie,1150,1366,45.883333,5.283333
Saint-Eloi,1800,1349,45.933333,5.15
Saint-Jean-de-Niost,1800,1361,45.833333,5.216667
Saint-Martin-du-Frêne,1430,1373,46.133333,5.55
Saint-Maurice-de-Gourdans,1800,1378,45.816667,5.2
Saint-Maurice-de-Rémens,1500,1379,45.95,5.283333
Saint-Sorlin-en-Bugey,1150,1386,45.883333,5.366667
Saint-Vulbas,1150,1390,45.833333,5.283333
Samognat,1580,1392,46.25,5.583333
Sault-Brénaz,1150,1396,45.85,5.416667
Serrières-sur-Ain,1450,1404,46.15,5.45
Sonthonnax-la-Montagne,1580,1410,46.233333,5.533333
Souclin,1150,1411,45.866667,5.416667
Vaux-en-Bugey,1150,1431,45.916667,5.35
Villebois,1150,1444,45.85,5.433333
Ambléon,1300,1006,45.75,5.6
Andert-et-Condon,1300,1009,45.8,5.65
Anglefort,1350,1010,45.916667,5.808333
Aranc,1110,1012,46,5.5
Arandas,1230,1013,45.9,5.483333
Arbignieu,1300,1015,45.733333,5.65
Argis,1230,1017,45.933333,5.483333
Armix,1510,1019,45.85,5.583333
Artemare,1510,1022,45.866667,5.7
Bellegarde-sur-Valserine,1200,1033,46.1,5.816667
Belley,1300,1034,45.766667,5.683333
Bénonces,1470,1037,45.833333,5.483333
Béon,1350,1039,45.833333,5.75
Billiat,1200,1044,46.066667,5.783333
Brégnier-Cordon,1300,1058,45.65,5.616667
Brénaz,1260,1059,45.95,5.716667
Brénod,1110,1060,46.066667,5.6
Briord,1470,1064,45.783333,5.466667
Cessy,1170,1071,46.316667,6.066667
Ceyzérieu,1350,1073,45.833333,5.733333
Chaley,1230,1076,45.95,5.533333
Challex,1630,1078,46.183333,5.966667
Champagne-en-Valromey,1260,1079,45.9,5.683333
Champdor,1110,1080,46.016667,5.6
Champfromier,1410,1081,46.2,5.816667
Chanay,1420,1082,46,5.783333
Châtillon-en-Michaille,1200,1091,46.133333,5.783333
Chavornay,1510,1097,45.883333,5.7
Chazey-Bons,1300,1098,45.8,5.683333
Cheignieu-la-Balme,1510,1100,45.833333,5.616667
Chevillard,1430,1101,46.116667,5.583333
Chevry,1170,1103,46.283333,6.033333
Chézery-Forens,1200,1104,46.216667,5.883333
Cleyzieu,1230,1107,45.9,5.433333
Collonges,1550,1109,46.133333,5.9
Colomieu,1300,1110,45.733333,5.616667
Conand,1230,1111,45.883333,5.466667
Condamine,1430,1112,46.116667,5.566667
Confort,1200,1114,46.15,5.816667
Contrevoz,1300,1116,45.8,5.633333
